env,Rep,Bloc,Plot,Entry,genotype,pedegree,MF,FF,ASI,EoA,Plant,Ear,stalk,root,Plants,Ears,Aspect,yield
unique,1,1,1,5,ZH1798,ZH1798,52,53,1,61,285,166,2,1,38,38,2,7.986419048
unique,1,1,2,8,ZH191079,ZH191079,53,55,2,62,320,160,7,1,26,31,3,6.000670476
unique,1,1,3,22,VH18567,VH18567,52,55,3,60,295,156,8,1,29,31,2.5,6.520438095
unique,1,1,4,20,VH151703,VH151703,55,61,6,63,270,160,10,4,37,18,3.5,2.179950476
unique,1,1,5,9,ZH191081,ZH191081,58,61,3,64,130,186,0,3,38,14,4,4.532571429
unique,1,1,6,3,ZH17118,ZH17118,52,56,4,63,.,163,4,1,30,37,2,6.758784762
unique,1,1,7,25,RH-10,RH-10,54,55,1,63,300,166,5,1,35,30,2.5,6.984182857
unique,1,1,8,24,InternalCheck-2,InternalCheck-2,52,57,5,61,300,132,14,0,38,32,2.5,6.445485714
unique,1,1,9,23,InternalCheck-1,InternalCheck-1,53,56,3,61,292,157,7,1,36,32,3,6.069561905
unique,1,1,10,7,ZH17119,ZH17119,53,59,6,63,255,137,1,5,38,20,4,2.353188571
unique,1,1,11,15,VH171295,VH171295,53,57,4,62,294,170,0,0,36,34,2,5.849371429
unique,1,1,12,19,VH171006,VH171006,53,57,4,64,283,156,6,1,33,28,3.5,4.0092
unique,1,1,13,26,CP-666,CP-666,50,51,1,56,300,150,10,0,39,34,3.5,6.153714286
unique,1,2,14,17,KH15486,KH15486,51,54,3,61,250,166,2,0,36,34,2,7.188468571
unique,1,2,15,6,ZH1799,ZH1799,53,58,5,65,270,167,2,0,41,27,3,4.232838095
unique,1,2,16,21,VH18568,VH18568,53,55,2,61,275,148,7,0,35,35,2.5,6.947352381
unique,1,2,17,18,VH16995,VH16995,53,55,2,61,271,135,9,0,35,34,3.5,7.32784
unique,1,2,18,11,CAH1519,CAH1519,54,55,1,63,262,148,2,0,34,31,2.5,7.180262857
unique,1,2,19,12,VH153258,VH153258,53,58,5,64,230,119,3,0,33,18,3.5,2.378605714
unique,1,2,20,13,VH153492,VH153492,54,57,3,64,292,133,2,0,38,31,2.5,7.059565714
unique,1,2,21,16,VH153252,VH153252,51,52,1,58,287,133,4,0,41,35,4,5.641352381
unique,1,2,22,14,VH16223,VH16223,52,56,4,61,252,123,1,0,35,28,3.5,5.359177143
unique,1,2,23,10,ZH182079,ZH182079,52,54,2,63,235,167,1,0,42,41,2.5,8.8236
unique,1,2,24,4,ZH191078,ZH191078,52,55,3,60,295,165,2,1,33,31,2,6.828297143
unique,1,2,25,2,ZH191077,ZH191077,53,55,2,61,295,190,7,0,34,34,2.5,7.12424
unique,1,2,26,1,ZH1767,ZH1767,49,51,2,57,300,160,9,0,45,43,2.5,7.137904762
unique,2,3,27,8,ZH191079,ZH191079,52,56,4,62,266,200,0,1,37,34,3,6.629371429
unique,2,3,28,5,ZH1798,ZH1798,51,55,4,63,300,163,0,0,41,40,3,7.282971429
unique,2,3,29,1,ZH1767,ZH1767,49,51,2,56,274,160,3,0,35,35,2.5,7.142914286
unique,2,3,30,4,ZH191078,ZH191078,53,55,2,61,269,165,0,1,37,34,2,7.28103619
unique,2,3,31,11,CAH1519,CAH1519,54,55,1,63,300,160,1,1,31,31,2,7.165375238
unique,2,3,32,23,InternalCheck-1,InternalCheck-1,52,55,3,62,286,163,3,0,40,38,2,8.41288381
unique,2,3,33,19,VH171006,VH171006,51,54,3,63,295,162,7,8,41,35,3,5.812373333
unique,2,3,34,26,CP-666,CP-666,50,51,1,57,280,123,4,4,25,21,3.5,3.656571429
unique,2,3,35,10,ZH182079,ZH182079,52,54,2,62,245,170,1,0,43,43,2,8.605733333
unique,2,3,36,12,VH153258,VH153258,52,55,3,63,320,150,0,0,31,22,3.5,4.068114286
unique,2,3,37,21,VH18568,VH18568,53,55,2,64,275,165,15,0,31,29,2.5,7.187017143
unique,2,3,38,20,VH151703,VH151703,55,60,5,65,312,112,8,6,34,21,4,4.170590476
unique,2,3,39,13,VH153492,VH153492,53,55,2,64,253,158,1,2,36,35,2,6.663946667
unique,2,4,40,17,KH15486,KH15486,53,55,2,64,270,161,0,6,35,32,2,7.887619048
unique,2,4,41,18,VH16995,VH16995,54,58,4,65,283,170,4,4,32,27,2.5,6.403657143
unique,2,4,42,6,ZH1799,ZH1799,53,56,3,64,287,178,2,1,43,36,2.5,8.593980952
unique,2,4,43,24,InternalCheck-2,InternalCheck-2,51,55,4,63,295,162,4,6,26,28,2,8.529531429
unique,2,4,44,7,ZH17119,ZH17119,53,58,5,65,312,165,0,0,33,32,2.5,5.78816
unique,2,4,45,14,VH16223,VH16223,53,55,2,64,230,119,5,1,39,28,4,5.828822857
unique,2,4,46,15,VH171295,VH171295,51,55,4,64,300,155,1,0,33,28,2,6.441295238
unique,2,4,47,22,VH18567,VH18567,52,54,2,61,287,165,5,0,33,35,2,7.846034286
unique,2,4,48,2,ZH191077,ZH191077,53,55,2,62,314,180,2,2,32,30,2.5,7.410834286
unique,2,4,49,25,RH-10,RH-10,54,55,1,62,280,159,2,1,29,27,2.5,6.294857143
unique,2,4,50,16,VH153252,VH153252,50,51,1,58,268,133,0,0,29,27,3,5.801478095
unique,2,4,51,3,ZH17118,ZH17118,52,58,6,64,283,135,2,0,36,33,2,5.504742857
unique,2,4,52,9,ZH191081,ZH191081,57,60,3,65,315,183,1,3,37,24,4,3.877847619
